In config file: GAME_DEF=game_def.fullholdem
In config file: ACTIONS_R0=C
In config file: ACTIONS_R1=C
In config file: ACTIONS_R2=F,C,1,A
In config file: ACTIONS_R3=F,C,1,A
Loading player: rgbr_nl_cprg.so
Player args: /home/viliam/cprg/project_uoapoker/trunk/src/c/meta_player.so /home/viliam/cprg/project_uoapoker/trunk/src/c/acpc14.map
Using seed 45.
208:Player,BR:0cc/r130c/cr19770f:2d9d,4dQc|/5s8s9h/2s:-230,230(-230.000000)
209:BR,Player:0r130c/cc/r460c/cr897f:7s9s,8cTh|/6s7cKh/8d/8h:-690,690(-690.000000)
210:Player,BR:0cr200c/cc/r900f:3c6s,3hTc|/5hKhKc/4c:300,-300(300.000000)
211:BR,Player:0r130c/cr1380c/cc/r3220f:5sJc,9sAd|/3sJdAc/Th/Ks:1610,-1610(1610.000000)
212:Player,BR:0cc/cc/cr200f:2h3d,5c8d|/7s7dQc/3s:-100,100(-100.000000)
213:BR,Player:0r130c/cc/r460f:7cQd,8hAc|/2h4h9d/Jc:230,-230(230.000000)
214:Player,BR:0cc/cc/r130r460f:2c4d,7cAc|/5d5cTc/9c:-230,230(-230.000000)
215:BR,Player:0r130c/cr460c/cc/cc:5hAh,6dQh|/9dTdKh/2s/Ad:690,-690(690.000000)
216:Player,BR:0cc/cc/cc/cr200c:4sTh,5h7c|/7sJsKs/4h/2c:-300,300(-229.731626)
217:BR,Player:0r130c/cc/r19770f:TsJc,JdKh|/3c7h9d/5s:230,-230(230.000000)
218:Player,BR:0cc/cc/cr200f:3sTd,2s7c|/7s7h8s/5h:-100,100(-100.000000)
219:BR,Player:0cc/cc/r200f:2cQh,4hJc|/2d7s9h/3d:100,-100(100.000000)
220:Player,BR:0cr300c/r520c/r184r2208f:4s5c,3hKs|/2c6sAc/Qs:-1104,1104(-1104.000000)
221:BR,Player:0r130c/cc/r460c/cc:4s6d,6hTh|/3d7hTd/Jd/8c:-690,690(-690.000000)
222:Player,BR:0cc/cc/cc/cr19900f:ThQd,8sTd|/TcJcKd/Qc/2s:-100,100(-100.000000)
