In config file: GAME_DEF=game_def.fullholdem
In config file: ACTIONS_R0=C
In config file: ACTIONS_R1=F,C,0.05,0.0575,0.066125,0.07604375,0.087450313,0.100567859,0.115653038,0.133000994,0.152951143,0.175893815,0.202277887,0.23261957,0.267512505,0.307639381,0.353785288,0.406853081,0.467881044,0.5380632,0.61877268,0.711588582,0.81832687,0.9410759,1.082237285,1.244572878,1.43125881,1.645947631,1.892839776,2.176765742,2.503280603,2.878772694,3.310588598,3.807176888,4.378253421,5.034991434,5.790240149,6.658776171,7.657592597,8.806231486,10.12716621,11.64624114,13.39317731,15.40215391,17.71247699,20.36934854,23.42475083,26.93846345,30.97923297,35.62611791,40.9700356,47.11554094,54.18287208,62.31030289,71.65684832,82.40537557,94.76618191,A
In config file: ACTIONS_R2=F,C
In config file: ACTIONS_R3=F,C
Loading player: rgbr_nl_cprg.so
Player args: /home/viliam/cprg/project_uoapoker/trunk/src/c/meta_player.so /home/viliam/cprg/project_uoapoker/trunk/src/c/acpc14.map
Using seed 46.
148:Player,BR:0cr200c/cr1306f:7cQd,2s9s|/4h8h8d:-300,300(-300.000000)
149:BR,Player:0r130c/r100c/cr660c/cr2970c:9cAd,2d8d|/3h8cQd/8s/9d:-3960,3960(-787.730184)
150:Player,BR:0cr300c/cr246c/cc/cc:9d9c,8hQc|/8dTcAh/4s/Jc:646,-646(0.023710)
151:BR,Player:0r130c/r327c/cr478c/cr2070f:7sQh,5h7c|/5d5c9s/Td/6c:-1035,1035(-1035.000000)
152:Player,BR:0cc/cr435f:3c6h,2h4c|/3s7cQh:-100,100(-100.000000)
153:BR,Player:0f:6hAs,3s7c|:50,-50(50.000000)
154:Player,BR:0cc/cr19900f:2h6c,9sAh|/4s9cAs:-100,100(-100.000000)
155:BR,Player:0r130c/r1001f:3sTh,3h4h|/6d9dQc:230,-230(230.000000)
156:Player,BR:0cc/cr8194f:2cKc,6dJd|/6cJcAd:-100,100(-100.000000)
157:BR,Player:0r200c/r1306f:4cJd,5d9c|/9dThQc:300,-300(300.000000)
158:Player,BR:0cr600c/cr3047f:2s2h,9dQh|/4h7hJd:-700,700(-700.000000)
159:BR,Player:0r130c/r2014f:7cKs,4s6d|/6hJhAh:230,-230(230.000000)
160:Player,BR:0cr300c/cr3503r11697f:KsKh,9hQd|/6c7cJs:3903,-3903(3903.000000)
161:BR,Player:0r130c/r498c/cr307c/cr2070c:6h8s,7s8d|/2c7c8h/3h/4h:-3105,3105(1063.702734)
162:Player,BR:0cr200c/cr1136c/r100c/r624c:7hAh,2dTh|/4c7cTs/5d/2c:-2160,2160(-2079.631259)
163:BR,Player:0r130c/r2014f:2c4s,4d6s|/5h6hAd:230,-230(230.000000)
164:Player,BR:0cc/cr435f:2h8c,4cAd|/7sJcKh:-100,100(-100.000000)
165:BR,Player:0cc/r249c/cr571f:4h6h,3hJc|/2h3d3c/8s:-349,349(-349.000000)
166:Player,BR:0cc/cr142f:6cTh,5hKs|/4hAsAh:-100,100(-100.000000)
167:BR,Player:0cc/r876c/cr974f:9sJd,6dTd|/2c4dTh/3s:-976,976(-976.000000)
168:Player,BR:0cc/cr1532f:2c6h,2sQs|/3cQhQc:-100,100(-100.000000)
169:BR,Player:0r130c/r1751f:9hTc,5c7s|/9cThKc:230,-230(230.000000)
170:Player,BR:0cr300c/r520r2290f:TcKh,3d9s|/7cJsKs:-920,920(-920.000000)
171:BR,Player:0r130c/r1001f:4cQc,5sKs|/6c8h9d:230,-230(230.000000)
172:Player,BR:0cr130c/r690f:QhAh,3s6d|/4c8hAc:230,-230(230.000000)
173:BR,Player:0r130c/r1001f:3cJd,JcKs|/4s5c8c:230,-230(230.000000)
174:Player,BR:0cc/cr1761f:5hJc,2s4s|/5s7cTh:-100,100(-100.000000)
175:BR,Player:0r130c/r1001f:7sKs,9hAc|/4dTcQc:230,-230(230.000000)
176:Player,BR:0cr130c/cr1751r2849r13826c/r1344c/cc:8sJh,AhAd|/3d5dJc/6s/Qd:-20000,20000(-18137.260399)
177:BR,Player:0r200c/r1306c/cc/cr3224f:4cTc,6sKd|/5h7hKc/8s/Js:-1606,1606(-1606.000000)
178:Player,BR:0cc/cr761f:3d4h,QhKs|/2d4cKd:-100,100(-100.000000)
179:BR,Player:0r130c/r2014f:QhAs,4s8h|/2s5sKc:230,-230(230.000000)
180:Player,BR:0cc/cr1761f:4h9s,5hAc|/2s6hKd:-100,100(-100.000000)
181:BR,Player:0f:2c4d,3s7d|:50,-50(50.000000)
182:Player,BR:0cc/cr876f:2h5s,7sQs|/6dJhKs:-100,100(-100.000000)
183:BR,Player:0r130c/r871f:TcQd,4c8c|/4d5hTh:230,-230(230.000000)
184:Player,BR:0cc/cr435c/r305c/r168f:9sJh,2c6d|/5s6s7c/5h/8c:840,-840(840.000000)
185:BR,Player:0r130c/r285c/cc/cc:2hKc,7dAd|/TsThKs/3h/3c:515,-515(493.874922)
186:Player,BR:0cc/cr379f:5dTs,ThJc|/6cJdAd:-100,100(-100.000000)
187:BR,Player:0r130c/r2014f:8s9s,8cQd|/2dJhAs:230,-230(230.000000)
188:Player,BR:0cr300c/r800r1708r5372f:2h2d,7c9d|/2cTsAd:2908,-2908(2908.000000)
189:BR,Player:0cc/r124c/cc/cc:6c8c,3h6d|/3c8sQh/7h/2c:224,-224(224.000000)
190:Player,BR:0cc/cr876f:4d8h,3hTd|/KhAsAh:-100,100(-100.000000)
191:BR,Player:0r200c/r1306f:6h8s,QdAd|/6sThAc:300,-300(300.000000)
192:Player,BR:0cc/cr124c/cc/cc:3sJc,8d9s|/6c9cQh/Qd/2h:-224,224(-166.329751)
193:BR,Player:0r200c/r427c/cr623c/cc:5dQh,JdQc|/4s8d9c/Ah/As:-1350,1350(-1350.000000)
194:Player,BR:0cr200c/cr1306c/cc/r3224c:TcAd,7hAc|/TsQhKd/3d/Jh:0,-0(-1538.442140)
195:BR,Player:0f:7h9d,2s6h|:50,-50(50.000000)
196:Player,BR:0cc/cr876f:4h6s,2d5c|/4dJhAd:-100,100(-100.000000)
197:BR,Player:0f:3c7c,2d5s|:50,-50(50.000000)
198:Player,BR:0cc/cr379f:4hQc,6cJs|/2s7dJc:-100,100(-100.000000)
199:BR,Player:0r130c/r2014f:4s7s,9sTc|/3sThAd:230,-230(230.000000)
200:Player,BR:0cc/cr435f:3d8d,5sQc|/4c7cKc:-100,100(-100.000000)
201:BR,Player:0r130c/r498f:AhAc,6d8d|/JhJcQc:230,-230(230.000000)
202:Player,BR:0cr300c/cr1741f:9dTc,5cJh|/4s4cAd:-400,400(-400.000000)
203:BR,Player:0r200c/r2627f:4h9c,6hQh|/6dTsTc:300,-300(300.000000)
204:Player,BR:0cc/cr124f:6h8s,6dAs|/QsQcAc:-100,100(-100.000000)
205:BR,Player:0r130c/r163f:2sKc,4dTc|/2h7d9c:230,-230(230.000000)
206:Player,BR:0cc/cr435f:4cKd,3dAc|/7h8dTc:-100,100(-100.000000)
207:BR,Player:0r200c/r2627c/cc/cr6043f:4d9c,ThQc|/2cJcKs/5d/8h:-2927,2927(-2927.000000)
